Gene_Name	Num_Chr	txStart	txEnd
ADAL	15	43622872	43646094
ADAM10	15	58888510	59042177
ADAM11	17	42836568	42859212
ADAM12	10	127700956	128077127
ADAM15	1	155023422	155035252
ADAM17	2	9629413	9695917
ADAM18	8	39442142	39587485
ADAM19	5	156822542	157002768
ADAM2	8	39601256	39695779
ADAM20	14	70989079	71001732
ADAM21	14	70924217	70926621
ADAM21P1	14	70712471	70714518
ADAM22	7	87563702	87826447
ADAM23	2	207308368	207482677
ADAM28	8	24151580	24212725
ADAM29	4	175839509	175899330
ADAM30	1	120436157	120439113
ADAM32	8	38965050	39142435
ADAM33	20	3648618	3662738
ADAM3A	8	39308565	39380470
ADAM5P	8	39172182	39274895
ADAM6	14	105994256	107283087
ADAM7	8	24298509	24384481
ADAM8	10	135075921	135090372
ADAM9	8	38854505	38962777
ADAMDEC1	8	24241798	24263526
ADAMTS1	21	28208608	28217728
ADAMTS10	19	8645126	8675588
ADAMTS12	5	33527287	33892124
ADAMTS13	9	136279459	136324507
ADAMTS14	10	72432559	72522193
ADAMTS15	11	130318869	130343715
ADAMTS16	5	5140443	5320411
ADAMTS17	15	100511643	100882183
ADAMTS18	16	77316026	77469011
ADAMTS19	5	128796103	129074376
ADAMTS2	5	178540851	178772329
ADAMTS20	12	43748013	43945724
ADAMTS3	4	73146687	73434516
ADAMTS4	1	161159539	161168845
ADAMTS5	21	28290232	28339439
ADAMTS6	5	64444564	64777704
ADAMTS7	15	79051546	79103773
ADAMTS8	11	130274820	130298539
ADAMTS9	3	64501333	64673365
ADAMTSL1	9	18474104	18910945
ADAMTSL2	9	136397286	136440640
ADAMTSL3	15	84322838	84708591
ADAMTSL4	1	150521898	150533410
ADAMTSL5	19	1505017	1513188
ADAP1	7	937538	1015235
ADAP2	17	29248754	29286209
ADAR	1	154554536	154600437
ADARB1	21	46494493	46646478
ADARB2	10	1228074	1779718
ADAT1	16	75632998	75657154
ADAT2	6	143743970	143771841
ADAT3	19	1905417	1913443
ADC	1	33546714	33586131
ADCK1	14	78266426	78400296
ADCK2	7	140372953	140395744
ADCK4	19	41197434	41222790
ADCK5	8	145597526	145618451
ADCY1	7	45613739	45762712
ADCY10	1	167778838	167883453
ADCY2	5	7396343	7830194
ADCY3	2	25042041	25142055
ADCY4	14	24787571	24804277
ADCY5	3	123003399	123167392
ADCY6	12	49159976	49182820
ADCY7	16	50300462	50352043
ADCY8	8	131792548	132052835
ADCY9	16	4012653	4166186
ADCYAP1	18	904944	912171
ADCYAP1R1	7	31092142	31146311
ADD1	4	2845577	2931787
ADD2	2	70834750	70995329
ADD3	10	111756108	111895320
ADH1A	4	100197524	100242572
ADH1B	4	100227528	100242572
ADH1C	4	100257651	100273917
ADH4	4	100044835	100065449
ADH5	4	99992132	100009931
ADH6	4	100123795	100140403
ADH7	4	100333418	100356525
ADHFE1	8	67344718	67381042
ADI1	2	3501691	3523350
ADIG	20	37209838	37217104
ADIPOQ	3	186560463	186576250
ADIPOR1	1	202909963	202927700
ADIPOR2	12	1800247	1897844
ADK	10	75910965	76469059
ADM	11	10326631	10328923
ADM2	22	50920012	50924864
ADNP	20	49506883	49547527
ADNP2	18	77866915	77898226
ADO	10	64564516	64568238
ADORA1	1	203096836	203136533
ADORA2A	22	24813709	24838324
ADORA2B	17	15848231	15879210
ADORA3	1	112025971	112106597
ADPGK	15	73043710	73076667
ADPRH	3	119298523	119308791
ADPRHL1	13	114076260	114107839
ADPRHL2	1	36554453	36559532
ADRA1A	8	26605667	26722922
ADRA1B	5	159343740	159400017
ADRA1D	20	4201278	4229659
ADRA2A	10	112836790	112840660
ADRA2B	2	96778626	96781888
ADRA2C	4	3768075	3770251
ADRB1	10	115803806	115806665
ADRB2	5	148206156	148208188
ADRB3	8	37820516	37824184
ADRBK1	11	67033905	67054029
ADRBK2	22	25960861	26125256
ADRM1	20	60878027	60883916
ADSL	22	40742504	40762573
ADSS	1	244571797	244615413
ADSSL1	14	105190534	105213645
AEBP1	7	44143960	44154158
AEBP2	12	19592608	19675173
AEN	15	89164527	89175512
AES	19	3052908	3062964
AFAP1	4	7760440	7941653
AFAP1L1	5	148651401	148721365
AFAP1L2	10	116054584	116164515
AFARP1	1	113465972	113467295
AFF1	4	87856163	88062190
AFF2	23	147582139	148082192
AFF3	2	100163718	100759037
AFF4	5	132211072	132299354
AFG3L1	16	90038988	90067195
AFG3L2	18	12329108	12377194
AFM	4	74347462	74369717
AFMID	17	76183398	76203782
AFP	4	74296855	74321492
AFTPH	2	64751465	64820131
AG2	11	43964106	43965432
AGA	4	178351924	178363591
AGAP1	2	236402736	237034114
AGAP11	10	88730498	88784486
AGAP2	12	58117573	58135940
AGAP3	7	150782954	150841523
AGAP4	10	46321051	46349325
AGAP5	10	75434034	75490272
AGAP6	10	51748078	51770258
AGAP7	10	51464164	51486327
AGAP8	10	51224690	51371331
AGBL1	15	86685242	87572283
AGBL2	11	47681145	47736302
AGBL3	7	134671259	134820526
AGBL4	1	48998527	50489626
AGBL5	2	27274491	27293489
AGER	6	32148746	32152023
AGFG1	2	228336888	228425938
AGFG2	7	100136834	100165842
AGGF1	5	76326232	76361035
AGK	7	141251078	141354209
AGL	1	100315640	100389579
AGMAT	1	15899152	15911605
AGPAT1	6	32135990	32145842
AGPAT2	9	139567595	139581911
AGPAT3	21	45285116	45407474
AGPAT4	6	161551057	161695107
AGPAT5	8	6565878	6619019
AGPAT6	8	41435707	41482520
AGPAT9	4	84457261	84527025
AGPHD1	15	78799906	78829714
AGPS	2	178257471	178408564
AGR2	7	16832266	16844738
AGR3	7	16899031	16921613
AGRN	1	955503	991492
AGRP	16	67516474	67517716
AGT	1	230838274	230850336
AGTPBP1	9	88161455	88356944
AGTR1	3	148415658	148460788
AGTR2	23	115301958	115306223
AGTRAP	1	11796142	11810827
AGXT	2	241808162	241818535
AGXT2	5	34998206	35048076
AGXT2L1	4	109663204	109684235
AGXT2L2	5	177635541	177659803
AHCTF1	1	247002402	247094723
AHCY	20	32868073	32899608
AHCYL1	1	110527308	110566363
AHCYL2	7	128864864	129070051
AHDC1	1	27860794	27930361
AHI1	6	135605112	135818903
AHNAK	11	62201016	62314332
AHNAK2	14	105403591	105444694
AHR	7	17338276	17385775
AHRR	5	304292	438403
AHSA1	14	77924373	77935807
AHSA2	2	61404553	61414058
AHSG	3	186330850	186339105
AHSP	16	31539203	31540123
AICDA	12	8754762	8765442
AIDA	1	222841357	222886526
AIF1	6	31582994	31584796
AIF1L	9	133971912	133998539
AIFM1	23	129263340	129299808
AIFM2	10	71857979	71892690
AIFM3	22	21319418	21335649
AIG1	6	143380500	143661439
AIM1	6	106959730	107018332
AIM1L	1	26648350	26670443
AIM2	1	159032275	159046647
AIMP1	4	107236767	107270379
AIMP2	7	6048882	6063464
AIP	11	67250505	67258578
AIPL1	17	6327060	6338519
AIRE	21	45705763	45718110
AJAP1	1	4715105	4843850
AK1	9	130628761	130640022
AK2	1	33473586	33502492
AK3	9	4711158	4742043
AK3L1	1	65613232	65693173
AK5	1	77747742	78025652
AK7	14	96858448	96955112
AKAP1	17	55162553	55198709
AKAP10	17	19808752	19881129
AKAP11	13	42846289	42897402
AKAP12	6	151561134	151679692
AKAP13	15	85923871	86292586
AKAP14	23	119029936	119054677
AKAP2	9	112810976	112934789
AKAP3	12	4724677	4754343
AKAP4	23	49955411	49965664
AKAP5	14	64932217	64941220
AKAP6	14	32798479	33302267
AKAP7	6	131456871	131604673
AKAP8	19	15464341	15490603
AKAP8L	19	15490859	15529833
AKAP9	7	91570189	91739986
AKD1	6	109814059	110012415
AKIRIN1	1	39456916	39471735
AKIRIN2	6	88384579	88411985
AKNA	9	117096433	117160752
AKNAD1	1	109358532	109506111
AKR1A1	1	46016498	46035720
AKR1B1	7	134127107	134143888
AKR1B10	7	134212344	134226165
AKR1B15	7	134233849	134264300
AKR1C1	10	4934796	5020157
AKR1C2	10	4964715	5060207
AKR1C3	10	5005454	5149876
AKR1C4	10	5238798	5260910
AKR1CL1	10	5196655	5227150
AKR1D1	7	137687070	137803050
AKR1E2	10	4868402	5067607
AKR7A2	1	19630459	19638640
AKR7A3	1	19609057	19615280
AKR7L	1	19592476	19600568
AKT1	14	105235689	105262080
AKT1S1	19	50372299	50380644
AKT2	19	40736225	40791265
AKT3	1	243651535	244006553
AKTIP	16	53525193	53537170
ALAD	9	116148593	116163618
ALAS1	3	52232116	52248343
ALAS2	23	55035489	55057497
ALB	4	74269972	74287127
ALCAM	3	105085713	105295743
ALDH16A1	19	49956473	49974304
ALDH18A1	10	97365687	97416567
ALDH1A1	9	75515588	75695358
ALDH1A2	15	58245628	58571462
ALDH1A3	15	101420009	101456828
ALDH1B1	9	38392702	38398655
ALDH1L1	3	125822408	125899485
ALDH1L2	12	105413564	105478341
ALDH2	12	112204346	112247782
ALDH3A1	17	19641300	19651746
ALDH3A2	17	19552064	19580908
ALDH3B1	11	67776048	67796741
ALDH3B2	11	67429634	67448685
ALDH4A1	1	19197926	19229293
ALDH5A1	6	24495197	24537434
ALDH6A1	14	74526874	74551196
ALDH7A1	5	125878918	125931082
ALDH8A1	6	135238529	135271244
ALDH9A1	1	165631449	165667900
ALDOA	16	30064472	30081734
ALDOB	9	104182842	104198062
ALDOC	17	26900134	26903951
ALG1	16	5083703	5137378
ALG10	12	34175216	34181234
ALG10B	12	38710557	38723527
ALG11	13	52586550	52591849
ALG12	22	50296856	50312106
ALG13	23	110924413	111003603
ALG14	1	95448279	95538507
ALG1L	3	125648118	125655882
ALG1L2	3	129800674	129817232
ALG2	9	101978708	101984246
ALG3	3	183960117	183967313
ALG5	13	37523910	37573504
ALG6	1	63833261	63904232
ALG8	11	77811988	77850699
ALG9	11	111652920	111750153
ALK	2	29415641	30144432
ALKBH1	14	78138749	78174356
ALKBH2	12	109525993	109531293
ALKBH3	11	43902357	43941825
ALKBH4	7	102096697	102105288
ALKBH5	17	18086867	18113265
ALKBH6	19	36500022	36505141
ALKBH7	19	6372444	6375040
ALKBH8	11	107373454	107436461
ALLC	2	3705786	3750258
ALMS1	2	73612886	73837046
ALMS1P	2	73872046	73912692
ALOX12	17	6899384	6914054
ALOX12B	17	7975954	7991021
ALOX12P2	17	6756895	6803667
ALOX15	17	4534221	4545589
ALOX15B	17	7942358	7952442
ALOX5	10	45869629	45941561
ALOX5AP	13	31287615	31338556
ALOXE3	17	7999219	8022177
ALPI	2	233320833	233324740
ALPK1	4	113218499	113363761
ALPK2	18	56148484	56296189
ALPK3	15	85359911	85416711
ALPL	1	21835858	21904904
ALPP	2	233243348	233247597
ALPPL2	2	233271552	233275422
ALS2	2	202564987	202645895
ALS2CL	3	46710679	46735171
ALS2CR11	2	202352157	202483901
ALS2CR12	2	202153148	202222101
ALS2CR4	2	202484907	202508224
ALS2CR8	2	203776978	203851060
ALX1	12	85674036	85695559
ALX3	1	110602998	110613322
ALX4	11	44286159	44331716
AMAC1	17	33519539	33521412
AMAC1L2	8	11188495	11189695
AMAC1L3	17	7384721	7386383
AMACR	5	33987906	34008206
AMBN	4	71458001	71473002
AMBP	9	116822410	116840752
AMBRA1	11	46417964	46615571
AMD1	6	111135824	111216913
AMDHD1	12	96337071	96362369
AMDHD2	16	2570363	2580954
AMELX	23	11311533	11318880
AMELY	24	6733960	6742068
AMFR	16	56395365	56459444
AMH	19	2249113	2252072
AMHR2	12	53817641	53825312
AMICA1	11	118064442	118095809
AMIGO1	1	110049447	110052336
AMIGO2	12	47469491	47473734
AMIGO3	3	49754268	49757238
AMMECR1	23	109437415	109683458
AMMECR1L	2	128619209	128643514
AMN	14	103388993	103397178
AMN1	12	31824073	31882108
AMOT	23	112018106	112084043
AMOTL1	11	94501508	94609917
AMOTL2	3	134070694	134094259
AMPD1	1	115215722	115238176
AMPD2	1	110162126	110174677
AMPD3	11	10471868	10529126
AMPH	7	38423307	38671020
AMT	3	49454212	49460012
AMTN	4	71384298	71398459
AMY1A	1	104198141	104207172
AMY2A	1	104159999	104168393
AMY2B	1	104078748	104153092
AMZ1	7	2719163	2755069
AMZ2	17	66244145	66253305
AMZ2P1	17	62962668	62971703
ANAPC1	2	112526641	112641741
ANAPC10	4	145916314	146019368
ANAPC11	17	79849599	79858363
ANAPC13	3	134196547	134204865
ANAPC16	10	73975806	73995616
ANAPC2	9	140069236	140083057
ANAPC4	4	25378848	25420119
ANAPC5	12	121746050	121792012
ANAPC7	12	110810705	110841535
ANG	14	21152336	21162343
ANGEL1	14	77253588	77279283
ANGEL2	1	213165525	213189168
ANGPT1	8	108261711	108510254
ANGPT2	8	6357177	6420784
ANGPT4	20	853299	896960
ANGPTL1	1	178818671	178840215
ANGPTL2	9	129849628	129885044
ANGPTL3	1	63063187	63071180
ANGPTL4	19	8429011	8439257
ANGPTL5	11	101761406	101787253
ANGPTL6	19	10203013	10213425
ANGPTL7	1	11249398	11256037
ANK1	8	41510745	41754280
ANK2	4	113739239	114304894
ANK3	10	61788160	62493155
ANKAR	2	190539219	190611370
ANKDD1A	15	65204101	65251039
ANKFN1	17	54230836	54560007
ANKFY1	17	4066667	4167274
ANKH	5	14704910	14871887
ANKHD1	5	139781429	139919439
ANKHD1-EIF4EBP3	5	139781429	139929163
ANKIB1	7	91875548	92030698
ANKK1	11	113258513	113271139
ANKLE1	19	17392454	17398454
ANKLE2	12	133302254	133338451
ANKMY1	2	241418839	241500275
ANKMY2	7	16639413	16685398
ANKRA2	5	72848163	72861498
ANKRD1	10	92671857	92681032
ANKRD10	13	111530888	111567416
ANKRD11	16	89334035	89556969
ANKRD12	18	9136758	9285206
ANKRD13A	12	110436991	110477233
ANKRD13B	17	27916801	27941778
ANKRD13C	1	70724686	70820417
ANKRD13D	11	67056819	67069954
ANKRD16	10	5903691	5931860
ANKRD17	4	73940503	74124502
ANKRD19	9	95571893	95650973
ANKRD2	10	99332256	99343639
ANKRD20A3	9	42368303	42411861
ANKRD20A4	9	69381981	69425108
ANKRD20B	2	95426675	95522820
ANKRD22	10	90579661	90611732
ANKRD23	2	97503652	97509758
ANKRD24	19	4183351	4224811
ANKRD26	10	27293045	27389427
ANKRD26P1	16	46503249	46603009
ANKRD27	19	33087907	33166102
ANKRD28	3	15708744	15901053
ANKRD29	18	21179980	21242849
ANKRD30A	10	37414785	37521495
ANKRD30B	18	14748239	14852737
ANKRD31	5	74443062	74532703
ANKRD32	5	93954391	94031571
ANKRD33	12	52281793	52285504
ANKRD34A	1	145470508	145475647
ANKRD34B	5	79852575	79866098
ANKRD34C	15	79575146	79590580
ANKRD35	1	145549209	145568526
ANKRD36	2	97779233	97930255
ANKRD36B	2	98109130	98206428
ANKRD36BP1	1	168214821	168216668
ANKRD37	4	186317840	186321780
ANKRD39	2	97513731	97523756
ANKRD40	17	48770552	48785270
ANKRD42	11	82905291	82967042
ANKRD43	5	132149033	132152488
ANKRD44	2	197831743	198175495
ANKRD45	1	173577475	173639001
ANKRD46	8	101521987	101572012
ANKRD49	11	94227153	94232740
ANKRD5	20	10015697	10037405
ANKRD50	4	125585468	125633887
ANKRD52	12	56631592	56652143
ANKRD53	2	71205575	71212628
ANKRD54	22	38226863	38240303
ANKRD55	5	55395508	55529186
ANKRD56	4	77816083	77819002
ANKRD57	2	110371911	110376563
ANKRD58	23	118892576	118894164
ANKRD6	6	90142897	90343402
ANKRD7	7	117864712	117882782
ANKRD9	14	102973198	102976128
ANKS1A	6	34857038	35085319
ANKS1B	12	99129071	100378432
ANKS3	16	4746513	4784250
ANKS4B	16	21245016	21263750
ANKS6	9	101494292	101558794
ANKZF1	2	220094479	220101390
ANLN	7	36429432	36493398
ANO1	11	69924408	70035649
ANO10	3	43407819	43663560
ANO2	12	5671817	6055398
ANO3	11	26210829	26684835
ANO4	12	101111304	101522419
ANO5	11	22214722	22304913
ANO6	12	45609770	45834187
ANO7	2	242127924	242164791
ANO8	19	17434032	17445638
ANO9	11	417930	442011
ANP32A	15	69070877	69113261
ANP32B	9	100745489	100778222
ANP32C	4	165118160	165118863
ANP32D	12	48866448	48866842
ANP32E	1	150190718	150208504
ANPEP	15	90328127	90358072
ANTXR1	2	69240276	69476457
ANTXR2	4	80822773	80994477
ANTXRL	10	47658234	47701446
ANUBL1	10	46111040	46168251
ANXA1	9	75766781	75785307
ANXA10	4	169013707	169108891
ANXA11	10	81914880	81965433
ANXA13	8	124693035	124749647
ANXA2	15	60639351	60690185
ANXA2P1	4	154228621	154229963
ANXA2P2	9	33624223	33625530
ANXA2P3	10	66585285	66586634
ANXA3	4	79472742	79531602
ANXA4	2	69969127	70053594
ANXA5	4	122589153	122618147
ANXA6	5	150480268	150537367
ANXA7	10	75135189	75173841
ANXA8	10	48255225	48279171
ANXA8L1	10	47158760	47168730
ANXA8L2	10	47746920	47770843
ANXA9	1	150954499	150968114
AOAH	7	36552610	36764153
AOC2	17	40996609	41002722
AOC3	17	41003201	41010138
AOX1	2	201450731	201536215
AOX2P	2	201635395	201658962
AP1AR	4	113152895	113191209
AP1B1	22	29723671	29784569
AP1G1	16	71762907	71842976
AP1G2	14	24028777	24037279
AP1M1	19	16308665	16346156
AP1M2	19	10683348	10697991
AP1S1	7	100797686	100804556
AP1S2	23	15843930	15873100
AP1S3	2	224620048	224702319
AP2A1	19	50270180	50310367
AP2A2	11	925841	1012239
AP2B1	17	33914282	34053433
AP2M1	3	183892634	183901878
AP2S1	19	47341423	47354203
AP3B1	5	77298151	77590528
AP3B2	15	83328034	83378635
AP3D1	19	2100994	2151556
AP3M1	10	75880016	75910826
AP3M2	8	42010464	42028702
AP3S1	5	115177619	115249776
AP3S2	15	90373832	90456222
AP4B1	1	114437677	114447741
AP4E1	15	51200946	51298097
AP4M1	7	99699130	99707941
AP4S1	14	31494683	31562634
APAF1	12	99039078	99129204
APBA1	9	72042449	72287275
APBA2	15	29131168	29410514
APBA3	19	3750771	3761673
APBB1	11	6416355	6440644
APBB1IP	10	26727266	26856730
APBB2	4	40812045	41216635
APBB3	5	139937853	139944189
APC	5	112043218	112181935
APC2	19	1450148	1473243
APCDD1	18	10454625	10488697
APCDD1L	20	57034426	57089949
APCS	1	159557616	159558660
APEH	3	49711435	49720933
APEX1	14	20923290	20925925
APEX2	23	55026780	55034211
APH1A	1	150237799	150241532
APH1B	15	63569749	63601324
API5	11	43333505	43366080
APIP	11	34896714	34937939
APITD1	1	10490159	10512208
APLF	2	68694691	68857856
APLN	23	128779326	128788914
APLNR	11	57001054	57004927
APLP1	19	36359138	36370698
APLP2	11	129939716	130014705
APOA1	11	116706469	116708338
APOA1BP	1	156561558	156566601
APOA2	1	161192083	161193418
APOA4	11	116691418	116694011
APOA5	11	116660087	116663136
APOB	2	21224302	21266945
APOB48R	16	28505993	28510282
APOBEC1	12	7801997	7824788
APOBEC2	6	41020940	41032629
APOBEC3A	22	39353527	39388783
APOBEC3B	22	39378405	39388783
APOBEC3C	22	39410265	39414823
APOBEC3D	22	39378405	39429255
APOBEC3F	22	39436673	39451973
APOBEC3G	22	39473025	39483747
APOBEC3H	22	39493290	39500070
APOBEC4	1	183615418	183622448
APOC1	19	45417577	45422606
APOC1P1	19	45430061	45434281
APOC2	19	45449243	45452817
APOC3	11	116700624	116703787
APOC4	19	45445495	45448751
APOD	3	195295573	195311076
APOE	19	45409039	45412649
APOF	12	56754355	56756583
APOH	17	64208148	64225556
APOL1	22	36649117	36663576
APOL2	22	36622256	36636000
APOL3	22	36536372	36562225
APOL4	22	36585178	36600879
APOL5	22	36113919	36125527
APOL6	22	36044424	36064455
APOLD1	12	12878851	12944397
APOM	6	31620221	31625986
APOO	23	23851481	23926050
APOOL	23	84258905	84344972
APP	21	27252862	27543446
APPBP2	17	58520520	58603580
APPL1	3	57261765	57307496
APPL2	12	105567075	105630008
APRT	16	88875879	88878342
APTX	9	32972609	33025110
AQP1	7	30893010	30965131
AQP10	1	154293592	154297800
AQP11	11	77300436	77320691
AQP12A	2	241631262	241637899
AQP12B	2	241615836	241622323
AQP2	12	50344524	50352662
AQP3	9	33441154	33447590
AQP4	18	24432010	24445716
AQP5	12	50355279	50359461
