Name	Alias	Type	Site_primary
NCIH2073	NCIH2073_LUNG	Lung NSCLC	lung
NCIH209	NCIH209_LUNG	Lung SCLC	lung
NCIH2126	NCIH2126_LUNG	Lung NSCLC	lung
NCIH2291	NCIH2291_LUNG	Lung NSCLC	lung
NCIH322	NCIH322_LUNG	Lung NSCLC	lung
NCIH358	NCIH358_LUNG	Lung NSCLC	lung
NCIH460	NCIH460_LUNG	Lung NSCLC	lung
NCIH520	NCIH520_LUNG	Lung NSCLC	lung
NCIH522	NCIH522_LUNG	Lung NSCLC	lung
NCIH526	NCIH526_LUNG	Lung SCLC	lung
NCIH647	NCIH647_LUNG	Lung NSCLC	lung
NCIH727	NCIH727_LUNG	Lung NSCLC	lung
NCIH841	NCIH841_LUNG	Lung SCLC	lung
NUGC3	NUGC3_STOMACH	Gastric	stomach
OCIMY7	OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
OPM1	OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Multiple Myeloma	haematopoietic_and_lymphoid_tissue
OVTOKO	OVTOKO_OVARY	Ovarian	ovary
PC14	PC14_LUNG	Lung NSCLC	lung
PC3	PC3_PROSTATE	Prostate	prostate
PECAPJ49	PECAPJ49_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive
PLCPRF5	PLCPRF5_LIVER	Liver	liver
RD	RD_SOFT_TISSUE	Soft Tissue Sarcoma	soft_tissue
RH30	RH30_SOFT_TISSUE	Soft Tissue Sarcoma	soft_tissue
RL952	RL952_ENDOMETRIUM	Endometrial	endometrium
SCC4	SCC4_UPPER_AERODIGESTIVE_TRACT	Head and Neck	upper_aerodigestive
SIHA	SIHA_CERVIX	Cervix	cervix
SKMES1	SKMES1_LUNG	Lung NSCLC	lung
SNU349	SNU349_KIDNEY	Renal Cell Carcinoma	kidney
SNU878	SNU878_LIVER	Liver	liver
SUDHL10	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
SW1271	SW1271_LUNG	Lung SCLC	lung
SW837	SW837_LARGE_INTESTINE	Colon	large_intestine
T47D	T47D_BREAST	Breast	breast
TUHR10TKB	TUHR10TKB_KIDNEY	Renal Cell Carcinoma	kidney
U2OS	U2OS_BONE	Bone sarcoma	bone
U937	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Lymphoma	haematopoietic_and_lymphoid_tissue
UACC257	UACC257_SKIN	Melanoma	skin
